1745079079: mosquitto version 2.0.21 starting
1745079079: Config loaded from mosquitto.conf.
1745079079: Opening ipv4 listen socket on port 1887.
1745079079: mosquitto version 2.0.21 running
1745079082: New connection from 127.0.0.1:56670 on port 1887.
1745079082: New client connected from 127.0.0.1:56670 as auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (p2, c1, k60).
1745079082: No will message specified.
1745079082: Sending CONNACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (0, 0)
1745079082: Received SUBSCRIBE from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: 	/sensor/temperature/# (QoS 0)
1745079082: auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 0 /sensor/temperature/#
1745079082: Sending SUBACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: Received SUBSCRIBE from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: 	/sensor/pressure/# (QoS 0)
1745079082: auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 0 /sensor/pressure/#
1745079082: Sending SUBACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079086: New connection from 127.0.0.1:56724 on port 1887.
1745079086: New client connected from 127.0.0.1:56724 as raspberry_pi_sector1_dev001_7006321c (p2, c1, k60).
1745079086: No will message specified.
1745079086: Sending CONNACK to raspberry_pi_sector1_dev001_7006321c (0, 0)
1745079086: Received SUBSCRIBE from raspberry_pi_sector1_dev001_7006321c
1745079086: 	/actuator/valve/sector1/dev001 (QoS 0)
1745079086: raspberry_pi_sector1_dev001_7006321c 0 /actuator/valve/sector1/dev001
1745079086: Sending SUBACK to raspberry_pi_sector1_dev001_7006321c
1745079086: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079141: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079141: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079141: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079143: Received PINGREQ from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079143: Sending PINGRESP to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079146: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079146: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079146: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079146: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079146: Received PINGREQ from raspberry_pi_sector1_dev001_7006321c
1745079146: Sending PINGRESP to raspberry_pi_sector1_dev001_7006321c
1745079151: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079151: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079151: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079151: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079156: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079156: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079156: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079156: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079161: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079161: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079161: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079161: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079166: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079166: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079166: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (102 bytes))
1745079166: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (102 bytes))
1745079171: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079171: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079171: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079171: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079176: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079176: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079176: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079176: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079181: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079181: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079181: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079181: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079186: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079186: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079186: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079186: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079191: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079191: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079191: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079191: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079196: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079196: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079196: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079196: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079201: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079201: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079201: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (102 bytes))
1745079201: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (102 bytes))
1745079203: Received PINGREQ from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079203: Sending PINGRESP to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079206: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079206: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079206: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079206: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079206: Received PINGREQ from raspberry_pi_sector1_dev001_7006321c
1745079206: Sending PINGRESP to raspberry_pi_sector1_dev001_7006321c
1745079211: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079211: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079211: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079211: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079216: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079216: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079216: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079216: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079221: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079221: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079221: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079221: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079226: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079226: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079226: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079226: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079231: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079231: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079231: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079231: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079236: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079236: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079236: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079236: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079241: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079241: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079241: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079241: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079246: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079246: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079246: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079246: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079251: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079251: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079251: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079251: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079256: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079256: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079256: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (102 bytes))
1745079256: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (102 bytes))
1745079261: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079261: Sending PUBLISH to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079261: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
